,Month,Decade,Type,Country,Area,Location,Activity,Fatal,Time
1051,Dec-Feb,2010,Unprovoked,SOUTH AFRICA,Western Province,Fish Hoek,unknown,Y,12-17
1052,Dec-Feb,2010,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,low water,N,low afluency
1053,Dec-Feb,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,fishing,N,7-11
1054,Dec-Feb,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,sports table,N,unknown
1055,Dec-Feb,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,low water,N,7-11
1056,Dec-Feb,2010,Unprovoked,USA,Florida,Elliot Key,low water,N,7-11
1057,Dec-Feb,2010,Unprovoked,SOUTH AFRICA,Eastern Province,"Nahoon, East London",low water,N,12-17
1058,Dec-Feb,2000,Unprovoked,SOUTH AFRICA,Eastern Cape  Province,Port Alfred,sports boat,N,7-11
1059,Dec-Feb,2000,Provoked,AUSTRALIA,New South Wales,Avoca Beach,fishing,N,7-11
1060,Dec-Feb,2000,Unprovoked,MOZAMBIQUE,Maputo Province,Ponta do Ouro,unknown,N,12-17
1061,Dec-Feb,2000,Boating,AUSTRALIA,Queensland,Mudjimba Island,sports table,N,unknown
1062,Dec-Feb,2000,Unprovoked,AUSTRALIA,Queensland,Lamont Reef,low water,N,unknown
1063,Dec-Feb,2000,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",sports table,Y,7-11
1064,Dec-Feb,2000,Invalid,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",sports boat,unknown,7-11
1065,Dec-Feb,2000,Unprovoked,NEW ZEALAND,South Island,Clark Island,underwater,Y,12-17
1066,Sep-Nov,2000,Unprovoked,AUSTRALIA,New South Wales,Coffee Head,sports table,N,12-17
1067,Sep-Nov,2000,Boating,AUSTRALIA,New South Wales,Hawks Nest Beach,low water,N,7-11
1068,Sep-Nov,2000,Provoked,USA,New Jersey,"Adventure Aquarium, Camden",fishing,N,12-17
1069,Sep-Nov,2000,Invalid,USA,California,"Huntington Beach, Orange County",sports table,unknown,7-11
1070,Sep-Nov,2000,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",sports table,N,12-17
1071,Sep-Nov,2000,Unprovoked,USA,California,"Loch Lomond, Marin County",sports table,N,12-17
1072,Sep-Nov,2000,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",sports boat,N,7-11
1073,Sep-Nov,2000,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",sports table,N,unknown
1074,Sep-Nov,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",sports boat,N,7-11
1075,Sep-Nov,2000,Unprovoked,AUSTRALIA,South Australia,Second Valley,fishing,N,unknown
1076,Sep-Nov,2000,Unprovoked,USA,California,"Davenport, Santa Cruz County",unknown,N,7-11
1077,Sep-Nov,2000,Boating,AUSTRALIA,Victoria,Portland,sports table,N,12-17
1078,Sep-Nov,2000,Unprovoked,MOZAMBIQUE,Inhambane Province,Off Vilanculo,sports table,N,low afluency
1079,Sep-Nov,2000,Unprovoked,AUSTRALIA,New South Wales,Lennox Heads,low water,N,18-22
1080,Sep-Nov,2000,Unprovoked,USA,California,"San Onofre, San Diego County ",underwater,N,12-17
1081,Sep-Nov,2000,Unprovoked,USA,Hawaii,"Kalama Park, Maui",underwater,N,unknown
1082,Sep-Nov,2000,Unprovoked,PANAMA,Bocas,Playa La Cabaña ,sports table,N,7-11
1083,Sep-Nov,2000,Provoked,SCOTLAND,Fife,Deep Sea World Aquarium,fishing,N,12-17
1084,Sep-Nov,2000,Unprovoked,AUSTRALIA,Western Australia,unknown,low water,N,12-17
1085,Sep-Nov,2000,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",unknown,N,unknown
1086,Sep-Nov,2000,Provoked,UNITED KINGDOM,Devon,Mewstone Rock,fishing,N,unknown
1087,Sep-Nov,2000,Unprovoked,USA,Florida,"Key Colony Beach, Monroe County",unknown,N,unknown
1088,Sep-Nov,2000,Unprovoked,VIETNAM,unknown,unknown,low water,N,18-22
1089,Sep-Nov,2000,Provoked,SOMALIA,unknown,300 miles off the coast ,low water,N,12-17
1090,Sep-Nov,2000,Provoked,BRAZIL,Pernambuco,"Piedade, Recife",low water,Y,unknown
