,Month,Decade,Type,Country,Area,Location,Activity,Fatal,Time
0,Jun-Aug,2010,Boating,USA,California,"Oceanside, San Diego County",unknown,N,18-22
1,Jun-Aug,2010,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",low water,N,12-17
2,Jun-Aug,2010,Invalid,USA,Hawaii,"Habush, Oahu",sports table,N,7-11
3,Jun-Aug,2010,Unprovoked,AUSTRALIA,New South Wales,Arrawarra Headland,sports table,N,unknown
4,Jun-Aug,2010,Provoked,MEXICO,Colima,La Ticla,underwater,N,unknown
5,Jun-Aug,2010,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Ballina",sports table,N,unknown
6,Jun-Aug,2010,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",low water,Y,12-17
7,Mar-May,2010,Unprovoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",fishing,N,unknown
8,Mar-May,2010,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",low water,N,12-17
9,Mar-May,2010,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",low water,N,12-17
10,Mar-May,2010,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,unknown,N,7-11
11,Mar-May,2010,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",sports table,N,unknown
12,Mar-May,2010,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",low water,N,12-17
13,Mar-May,2010,Invalid,ENGLAND,Cornwall,Off Land's End,fishing,N,7-11
14,Mar-May,2010,Provoked,AUSTRALIA,Westerm Australia,Dugong Bay,unknown,N,unknown
15,Mar-May,2010,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",sports table,N,7-11
16,Mar-May,2010,Questionable,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",sports table,N,7-11
17,Mar-May,2010,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,low water,N,unknown
18,Mar-May,2010,Unprovoked,COSTA RICA,Cocos Island,Manuelita,underwater,N,7-11
19,Mar-May,2010,Unprovoked,AUSTRALIA,Western Australia,Gearys Beach,sports table,N,12-17
20,Mar-May,2010,Questionable,AUSTRALIA,New South Wales,Lennox Head,sports table,N,7-11
21,Mar-May,2010,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",sports table,N,7-11
22,Mar-May,2010,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",sports table,N,12-17
23,Mar-May,2010,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,fishing,N,18-22
24,Mar-May,2010,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",unknown,N,7-11
25,Mar-May,2010,Unprovoked,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",low water,N,unknown
27,Mar-May,2010,Unprovoked,BRAZIL,Pernambuco,Piedade,low water,unknown,unknown
28,Mar-May,2010,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",sports table,N,unknown
29,Mar-May,2010,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",sports table,N,7-11
30,Mar-May,2010,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,sports table,N,7-11
31,Mar-May,2010,Invalid,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",fishing,N,unknown
32,Mar-May,2010,Unprovoked,NEW CALEDONIA,unknown,"Magenta Beach, Noumea",sports table,N,12-17
33,Mar-May,2010,Unprovoked,BAHAMAS,unknown,Bimini,low water,N,18-22
34,Mar-May,2010,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,sports table,N,12-17
35,Mar-May,2010,Unprovoked,USA,Hawaii,Kukio Beach,unknown,N,7-11
36,Mar-May,2010,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,low water,N,12-17
37,Mar-May,2010,Unprovoked,AUSTRALIA,Victoria,Lorne,low water,N,12-17
38,Mar-May,2010,Unprovoked,AUSTRALIA,Victoria,Winkipop,sports table,N,7-11
39,Dec-Feb,2010,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,underwater,N,unknown
40,Dec-Feb,2010,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",low water,N,18-22
41,Dec-Feb,2010,Provoked,AUSTRALIA,Victoria,Westernport Bay,fishing,N,low afluency
42,Dec-Feb,2010,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",low water,N,12-17
43,Dec-Feb,2010,Invalid,AUSTRALIA,Queensland,Mooloolaba Beach,low water,N,18-22
44,Dec-Feb,2010,Invalid,BRAZIL,"Boi Island, Victoria",Espirito Santo,unknown,N,unknown
45,Dec-Feb,2010,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,underwater,N,unknown
46,Dec-Feb,2010,Invalid,AUSTRALIA,Western Australia,"Avalon Point, Manurah",fishing,N,unknown
47,Dec-Feb,2010,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,unknown,N,7-11
48,Dec-Feb,2010,Unprovoked,NEW CALEDONIA,unknown,Nouville,fishing,N,12-17
49,Dec-Feb,2010,Unprovoked,AUSTRALIA,Queensland,Lizard Island,underwater,N,12-17
50,Dec-Feb,2010,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,underwater,N,unknown
51,Dec-Feb,2010,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,sports table,N,12-17
52,Dec-Feb,2010,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",sports table,N,unknown
53,Dec-Feb,2010,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",sports table,N,18-22
54,Dec-Feb,2010,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",sports table,N,12-17
55,Dec-Feb,2010,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,fishing,N,unknown
56,Dec-Feb,2010,Unprovoked,BAHAMAS,unknown,unknown,underwater,N,unknown
57,Sep-Nov,2010,Unprovoked,COSTA RICA,Cocos Island,Manuelita,underwater,N,unknown
58,Sep-Nov,2010,Unprovoked,COSTA RICA,Cocos Island,Manuelita,underwater,Y,unknown
59,Sep-Nov,2010,Sea Disaster,LIBYA,unknown, Gars Garabulli,unknown,Y,unknown
60,Sep-Nov,2010,Unprovoked,USA,California,"Stillwater Cove, Monterey County",fishing,N,12-17
61,Sep-Nov,2010,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",sports table,N,12-17
62,Sep-Nov,2010,Unprovoked,unknown,unknown,unknown,sports table,N,unknown
63,Sep-Nov,2010,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,sports table,N,12-17
64,Sep-Nov,2010,Unprovoked,CUBA,Holquin Province,Guardalavaca Beach,low water,Y,low afluency
65,Sep-Nov,2010,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,underwater,N,unknown
66,Sep-Nov,2010,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,sports table,N,7-11
67,Sep-Nov,2010,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",unknown,N,12-17
68,Sep-Nov,2010,Unprovoked,MAURITIUS,Pamplemousses ,Le Goulet,low water,N,12-17
69,Sep-Nov,2010,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",sports table,N,12-17
70,Sep-Nov,2010,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",low water,N,7-11
71,Sep-Nov,2010,Unprovoked,AUSTRALIA,South Australia,Normanville,sports boat,N,12-17
72,Sep-Nov,2010,Unprovoked,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",sports boat,N,7-11
73,Sep-Nov,2010,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",low water,N,12-17
74,Sep-Nov,2010,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",sports table,N,18-22
75,Sep-Nov,2010,Unprovoked,USA,Hawaii,"Kamaole Beach Park, Maui ",underwater,N,12-17
76,Sep-Nov,2010,Invalid,SOUTH AFRICA,Western Cape Province,Dyer Island,underwater,unknown,unknown
77,Sep-Nov,2010,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",sports table,N,7-11
78,Sep-Nov,2010,Unprovoked,AUSTRALIA,Western Australia,Gracetown,sports table,N,18-22
79,Sep-Nov,2010,Invalid,USA,New York,Rockaway,sports table,unknown,12-17
80,Sep-Nov,2010,Unprovoked,USA,Florida,Fort Worth,sports table,N,12-17
81,Sep-Nov,2010,Unprovoked,USA,Florida,Palm Beach County,sports table,N,7-11
82,Sep-Nov,2010,Unprovoked,SPAIN,Canary Islands,Gran Canaria ,low water,N,unknown
83,Sep-Nov,2010,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",sports table,N,12-17
84,Sep-Nov,2010,Invalid,SOUTH AFRICA,Western Cape Province,Hawston,underwater,unknown,12-17
85,Sep-Nov,2010,unknown,SAMOA, Upolu Island,Nofoalii,fishing,N,low afluency
86,Sep-Nov,2010,Boating,AUSTRALIA,Westerm Australia,Esperance,fishing,N,unknown
87,Sep-Nov,2010,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",sports table,N,18-22
88,Sep-Nov,2010,Unprovoked,AUSTRALIA,Westerm Australia,Sam's Creek area,low water,N,12-17
89,Sep-Nov,2010,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,sports table,N,low afluency
90,Sep-Nov,2010,Unprovoked,SOLOMON ISLANDS,unknown,Owarigi Island,fishing,N,unknown
91,Sep-Nov,2010,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,low water,Y,7-11
92,Sep-Nov,2010,Unprovoked,JAPAN,Shizuoka Prefecture,Iwata City,sports table,N,7-11
93,Sep-Nov,2010,Unprovoked,USA,Florida,"Marathon, Monroe County",low water,N,unknown
94,Sep-Nov,2010,Unprovoked,USA,Texas,"South Padre Island, Cameron County",low water,N,unknown
95,Sep-Nov,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",sports table,N,7-11
96,Jun-Aug,2010,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,sports table,N,7-11
97,Jun-Aug,2010,Unprovoked,USA,Florida,Bathtub Beach ,low water,N,12-17
98,Jun-Aug,2010,Invalid,SPAIN,Castellón,Grao de Moncofa,low water,unknown,unknown
99,Jun-Aug,2010,Unprovoked,NEW ZEALAND,North Island,Off Tutukaka,sports boat,N,unknown
100,Jun-Aug,2010,Unprovoked,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",unknown,N,7-11
101,Jun-Aug,2010,Unprovoked,BAHAMAS,unknown,unknown,fishing,N,12-17
102,Jun-Aug,2010,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",low water,N,12-17
103,Jun-Aug,2010,Unprovoked,EGYPT,Red Sea Protectorate,Marsa Ghalib,underwater,N,unknown
104,Jun-Aug,2010,Provoked,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",fishing,N,low afluency
105,Jun-Aug,2010,Boating,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",sports boat,N,7-11
106,Jun-Aug,2010,Unprovoked,USA,Florida,"Jacksonvlle, Duval County",unknown,N,18-22
107,Jun-Aug,2010,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",low water,unknown,12-17
108,Jun-Aug,2010,Unprovoked,USA,South Carolina,"DeBordieu Colony, Georgetown County",unknown,N,12-17
109,Jun-Aug,2010,Unprovoked,BAHAMAS,New Providence District,Rose Island,underwater,N,unknown
110,Jun-Aug,2010,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,unknown,fishing,N,unknown
111,Jun-Aug,2010,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,sports table,N,12-17
112,Jun-Aug,2010,Unprovoked,USA,New Jersey,Ventnor,unknown,N,unknown
113,Jun-Aug,2010,Unprovoked,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",low water,N,12-17
114,Jun-Aug,2010,Unprovoked,USA,Florida,"Snipes Point, Monroe County",unknown,N,12-17
115,Jun-Aug,2010,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",low water,unknown,unknown
116,Jun-Aug,2010,Boating,USA,California,"Stearns Wharf, Santa Barbara",sports boat,N,7-11
117,Jun-Aug,2010,Unprovoked,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",unknown,N,7-11
118,Jun-Aug,2010,Unprovoked,USA,Washington,"South Beach, Westport, Grays Harbor County",sports table,N,18-22
119,Jun-Aug,2010,Unprovoked,AUSTRALIA,Western Australia,Floreat Beach,sports table,N,7-11
120,Jun-Aug,2010,Boating,USA,California,"Santa Cruz, Santa Cruz County",sports boat,N,7-11
121,Jun-Aug,2010,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",low water,N,12-17
122,Jun-Aug,2010,Provoked,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",fishing,N,unknown
123,Jun-Aug,2010,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",sports table,N,12-17
124,Jun-Aug,2010,Invalid,COMOROS,Anjouan,Moya,fishing,unknown,unknown
125,Jun-Aug,2010,Invalid,USA,South Carolina,Wrightsville Beach,fishing,unknown,18-22
126,Jun-Aug,2010,Unprovoked,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",low water,N,unknown
127,Jun-Aug,2010,Unprovoked,USA,Florida,"Singer Island, Palm Beach County",sports table,N,7-11
128,Jun-Aug,2010,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",low water,N,unknown
129,Jun-Aug,2010,Unprovoked,REUNION,unknown,Roches Noire,low water,N,7-11
130,Jun-Aug,2010,Unprovoked,SPAIN,Ibiza Island,Playa den Bossa,low water,N,12-17
131,unknown,2010,Unprovoked,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island",sports table,N,unknown
132,Jun-Aug,2010,Unprovoked,BAHAMAS,unknown,unknown,unknown,N,unknown
133,Jun-Aug,2010,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",low water,N,7-11
134,Jun-Aug,2010,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",sports table,N,12-17
135,Jun-Aug,2010,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",sports table,N,7-11
136,Jun-Aug,2010,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,sports table,N,unknown
137,Jun-Aug,2010,Unprovoked,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",fishing,N,unknown
138,Jun-Aug,2010,Unprovoked,BAHAMAS,New Providence ,Athol Island,underwater,N,12-17
139,Mar-May,2010,Provoked,USA,South Carolina,"Awendaw, Charleston County",unknown,N,unknown
140,Mar-May,2010,Unprovoked,USA,Florida,Off Jupiter,unknown,N,7-11
141,Mar-May,2010,Invalid,AUSTRALIA,New South Wales,Evans Head,fishing,N,unknown
142,Mar-May,2010,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Khor Fakkan,fishing,N,7-11
143,Mar-May,2010,Provoked,AUSTRALIA,Queensland,Weipa,unknown,N,unknown
144,Mar-May,2010,Unprovoked,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",underwater,Y,12-17
145,Mar-May,2010,Invalid,USA,California,"Sunset Beach, Orange County",sports table,unknown,12-17
146,Mar-May,2010,Unprovoked,USA,California,"San Onofre, San Diego County ",low water,N,12-17
147,Mar-May,2010,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",sports table,N,12-17
148,Mar-May,2010,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",sports table,N,7-11
149,Mar-May,2010,Unprovoked,REUNION,Saint-Leu,Pointe au Sal,low water,Y,7-11
150,Mar-May,2010,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",low water,N,12-17
151,Mar-May,2010,Invalid,USA,Florida,unknown,unknown,unknown,unknown
152,Mar-May,2010,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,underwater,N,12-17
153,Mar-May,2010,Invalid,USA,South Carolina,Georgetown County,low water,unknown,7-11
154,Mar-May,2010,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",unknown,N,12-17
155,Mar-May,2010,Unprovoked,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,sports table,Y,12-17
156,Mar-May,2010,Unprovoked,USA,Hawaii,"Kekaha Beach, Kauai",sports table,N,7-11
157,Mar-May,2010,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",sports table,N,12-17
158,Mar-May,2010,Unprovoked,USA,Florida,St. Augustine,sports table,N,12-17
159,Mar-May,2010,Invalid,SOUTH AFRICA,KwaZulu-Natal,Protea Banks,underwater,unknown,unknown
160,Mar-May,2010,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",sports table,N,12-17
161,Mar-May,2010,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",unknown,N,12-17
162,Mar-May,2010,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",low water,N,12-17
163,Mar-May,2010,Unprovoked,USA,Florida,"Daytona, Volusia County",low water,N,unknown
164,Mar-May,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",low water,N,12-17
165,Mar-May,2010,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,unknown,N,12-17
166,Mar-May,2010,Unprovoked,USA,Florida,"Destin, Okaloosa County",low water,N,12-17
167,Mar-May,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",sports table,N,7-11
168,Mar-May,2010,Unprovoked,AUSTRALIA,New South Wales,The Farm,low water,N,18-22
169,Mar-May,2010,Boating,USA,California,Monterey Bay,sports boat,N,12-17
170,Mar-May,2010,Unprovoked,PHILIPPINES,Luzon Island,"Villamar, Caoayan",fishing,N,unknown
171,Mar-May,2010,Unprovoked,BAHAMAS,Great Exuma,unknown,unknown,N,unknown
172,Dec-Feb,2010,Unprovoked,AUSTRALIA,Western Australia,Mauds Point,underwater,N,7-11
173,Dec-Feb,2010,Unprovoked,AUSTRALIA,Western Australia,"Falcon Bay Beach, Mandurah",sports table,N,7-11
174,Dec-Feb,2010,Unprovoked,REUNION,Saint-Andre,unknown,low water,Y,7-11
175,Dec-Feb,2010,Unprovoked,AUSTRALIA,Queensland,Eva Rock,fishing,N,7-11
176,Dec-Feb,2010,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",low water,N,12-17
177,Dec-Feb,2010,Provoked,BRAZIL,Pernambuco,Fernando de Noronha Marine Park,unknown,N,12-17
178,Dec-Feb,2010,Boating,SOUTH AFRICA,KwaZulu-Natal,Eastmoor Crescent Beach,fishing,N,unknown
179,Dec-Feb,2010,Boating,USA,South Carolina,16 miles off Hilton Head,unknown,N,unknown
180,Dec-Feb,2010,Unprovoked,BAHAMAS,Bimini,unknown,underwater,N,unknown
181,Dec-Feb,2010,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",low water,N,12-17
182,Dec-Feb,2010,Unprovoked,USA,Florida,"Vero Beach, Indian River County",unknown,N,12-17
183,Dec-Feb,2010,Unprovoked,AUSTRALIA,Queensland,"Boot Reef, Torres Strait",underwater,N,12-17
184,Dec-Feb,2010,Unprovoked,AUSTRALIA,Queensland,Clairview,low water,N,12-17
185,Dec-Feb,2010,Unprovoked,USA,Florida,Jensen Beach,unknown,N,7-11
186,Dec-Feb,2010,Unprovoked,INDONESIA,Bali,Balian Beach,sports table,N,7-11
187,Dec-Feb,0,Invalid,AUSTRALIA,Queensland,unknown,fishing,unknown,unknown
188,Dec-Feb,2010,Unprovoked,USA,Florida,"Blockhouse Beach, Brevard County",low water,N,12-17
189,Dec-Feb,2010,Invalid,AUSTRALIA,New South Wales,Merimbula,low water,unknown,18-22
190,Dec-Feb,2010,Unprovoked,USA,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",sports table,N,12-17
191,Dec-Feb,2010,Unprovoked,AUSTRALIA,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",underwater,N,7-11
192,Dec-Feb,2010,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay",sports table,N,7-11
193,Dec-Feb,2010,Unprovoked,AUSTRALIA,Western Australia,Trigg Beach,underwater,N,7-11
194,Dec-Feb,2010,Unprovoked,FRENCH POLYNESIA,Tuamotos,Takapoto Atoll,fishing,N,unknown
195,Dec-Feb,2010,Invalid,USA,Florida,"New Smyrna Beach, Volusia County",sports table,unknown,12-17
196,Dec-Feb,2010,Provoked,AUSTRALIA,New South Wales,Merimbula,fishing,N,low afluency
197,Dec-Feb,2010,Unprovoked,AUSTRALIA,New South Wales,Booti Booti National Park,sports table,N,7-11
198,Sep-Nov,2010,Provoked,AUSTRALIA,Victoria,Queenscliff,fishing,N,7-11
199,Sep-Nov,2010,Unprovoked,USA,Hawaii,"Kamaole Beach Park I, Maui",low water,N,7-11
200,Sep-Nov,2010,Unprovoked,USA,Florida,"Mayport Naval Station Beach, Duval County",sports table,N,12-17
201,Sep-Nov,2010,Unprovoked,USA,Florida,Mayport Naval Station  Duval County,sports table,N,12-17
202,Sep-Nov,2010,Unprovoked,AUSTRALIA,New South Wales,Broken Head Beach,sports table,N,7-11
203,Sep-Nov,2010,Unprovoked,USA,Hawaii,"Hooipa Beach Park, Maui",sports table,N,12-17
204,Sep-Nov,2010,Unprovoked,AUSTRALIA,Queensland,"Kings Beach, Caloundra",sports table,N,18-22
205,Sep-Nov,2010,Unprovoked,USA,Hawaii,"Charlie Young Beach, Kihei, Maui",underwater,N,7-11
206,Sep-Nov,2010,Invalid,MEXICO,unknown,Guadalupe Island,underwater,unknown,unknown
207,Sep-Nov,2010,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",sports table,N,7-11
208,Sep-Nov,2010,Unprovoked,USA,Oregon,"Indian Beach, Ecola State Park, Clatsop County",sports table,N,12-17
210,Sep-Nov,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",unknown,N,12-17
211,Sep-Nov,2010,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",sports table,N,unknown
212,Sep-Nov,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",sports table,N,12-17
215,Sep-Nov,2010,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",sports table,N,12-17
216,Sep-Nov,2010,Unprovoked,AUSTRALIA,Victoria,Thirteenth Beach,sports table,N,unknown
217,Sep-Nov,2010,Unprovoked,AUSTRALIA,Victoria,Bells Beach,sports table,N,unknown
218,Sep-Nov,2010,Boating,AUSTRALIA,Western Australia,Bunbury,fishing,N,unknown
219,Sep-Nov,2010,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",low water,N,12-17
220,Sep-Nov,2010,Unprovoked,USA,Hawaii,"Makaha, Oahu",low water,N,12-17
221,Sep-Nov,2010,Unprovoked,NEW CALEDONIA,North Province,Koumac,sports table,Y,12-17
222,Sep-Nov,2010,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",sports table,N,12-17
223,Sep-Nov,2010,Unprovoked,AUSTRALIA,Western Australia,Injidup ,sports table,N,12-17
224,Sep-Nov,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",low water,N,unknown
225,Sep-Nov,2010,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",fishing,N,unknown
227,Jun-Aug,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",sports table,N,12-17
229,Jun-Aug,2010,Unprovoked,REUNION,unknown,Boucan Canot,sports table,N,12-17
230,Jun-Aug,2010,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",low water,N,12-17
231,Jun-Aug,2010,Unprovoked,BAHAMAS,New Providence Island,Nassau,underwater,N,unknown
232,Jun-Aug,2010,Unprovoked,USA,Hawaii,Maui,unknown,N,12-17
233,Jun-Aug,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",sports table,N,unknown
234,Jun-Aug,2010,Unprovoked,SPAIN,Alicante Province,Arenales del Sol,low water,N,7-11
235,Jun-Aug,2010,Unprovoked,CHINA,Hong Kong,unknown,low water,N,unknown
236,Jun-Aug,2010,Boating,AUSTRALIA,Western Australia,Near Albany,sports boat,N,unknown
237,Jun-Aug,2010,Provoked,USA,Florida,"Florida Keys, Monroe County",unknown,N,unknown
238,Jun-Aug,2010,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",sports table,N,12-17
239,Jun-Aug,2010,Unprovoked,JAPAN,Kochi Prefecture,Irino Beach,sports table,N,18-22
240,Jun-Aug,2010,Unprovoked,AUSTRALIA,Tasmania,Clifton Beach,sports table,N,unknown
241,Jun-Aug,2010,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay,fishing,N,unknown
242,Jun-Aug,2010,Provoked,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",fishing,N,12-17
243,Jun-Aug,2010,Boating,USA,Alabama,8 miles off Mobile,fishing,N,unknown
245,Jun-Aug,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",unknown,N,7-11
246,Jun-Aug,2010,Unprovoked,USA,California,"Surfside, Orange County",sports table,N,12-17
247,Jun-Aug,2010,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",low water,N,unknown
248,Jun-Aug,2010,Unprovoked,BAHAMAS,unknown,Tiger Beach,underwater,N,unknown
249,Jun-Aug,2010,Unprovoked,SPAIN,Canary Islands,"Las Teresitas, Tenerife",low water,N,unknown
250,Jun-Aug,2010,Boating,USA,California,"Capitola, Santa Cruz County",fishing,N,unknown
251,Jun-Aug,2010,Provoked,USA,Massachusetts,"Off Gloucester, Essec County",fishing,N,7-11
252,Jun-Aug,2010,Boating,USA,California,"Off Palos Verdes peninsula, Los Angeles County",fishing,N,unknown
253,Jun-Aug,2010,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",low water,N,12-17
254,Jun-Aug,2010,Provoked,AUSTRALIA,Queensland,Palm Cove ,fishing,N,18-22
255,Jun-Aug,2010,Unprovoked,USA,South Carolina,Sullivan's Island,unknown,N,12-17
256,Jun-Aug,2010,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",sports table,N,12-17
257,Jun-Aug,2010,Unprovoked,COLUMBIA,Isla Provedencia,unknown,underwater,N,7-11
258,Jun-Aug,2010,Unprovoked,SOUTH AFRICA,Western Cape Province,Ryspunt,fishing,N,unknown
259,Jun-Aug,2010,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",low water,N,12-17
260,Jun-Aug,2010,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",low water,N,12-17
261,Jun-Aug,2010,Unprovoked,USA,Hawaii,"Kalapaki Beach, Kauai",sports table,N,low afluency
262,Jun-Aug,2010,Provoked,AUSTRALIA,Western Australia,Coral Bay,fishing,N,unknown
263,Jun-Aug,2010,Unprovoked,USA,Texas,"Pirates Beach, Galveston",low water,N,12-17
264,Jun-Aug,2010,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",low water,N,12-17
265,Jun-Aug,2010,Invalid,USA,South Carolina,"Folly Beach, Charleston County",sports table,unknown,7-11
266,Jun-Aug,2010,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",low water,N,7-11
267,Jun-Aug,2010,Unprovoked,AUSTRALIA,Western Australia,Mindarie,underwater,Y,7-11
268,Jun-Aug,2010,Unprovoked,EGYPT,Suez,Ain Sokhna,low water,N,7-11
269,Jun-Aug,2010,Unprovoked,AUSTRALIA,New South Wales,Kingscliff,fishing,unknown,unknown
